,Commodities/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,T001,F010,F02E,F02N,F02R,F02S,F030,F040,F06C,F06E,F06N,F06S,F07C,F07E,F07N,F07S,F10C,F10E,F10N,F10S,T019
331,Primary metals,138,0,6887,640,765,3,6479,547,954,87425,87046,36403,2697,17862,60278,10987,4440,7218,5720,415,...,765,38,64,59,1642,1455,8,...,0,900,...,911,...,...,...,...,293,...,18,13,271,488,...,...,1,...,2,3926,89,...,10,1645,52,491,340,132,60,105,16,274,21,257,20,144,417,98,255,...,400,467,353052,1136,...,...,...,...,6462,35368,...,...,...,...,...,...,...,...,...,...,...,...,396018
332,Fabricated metal products,2331,202,7409,1157,2111,570,118862,3376,3552,5928,48510,34096,3889,9692,57893,14734,3913,6569,19275,810,245,6834,1600,766,12607,8400,3922,653,277,171,2846,84,597,2112,1162,240,859,883,657,991,39,16312,2512,341,279,4,29,71,5184,1206,36,1340,7270,1254,3711,2756,554,340,1173,43,2070,63,873,1455,4375,4593,7669,1298,690,7028,4282,469635,48397,18464,...,...,...,6217,44218,...,1437,...,...,...,20,...,...,...,18,...,...,588407
333,Machinery,4921,457,15445,5394,7442,1468,49273,837,230,1862,5319,44804,277,2238,36136,5800,99,1547,5515,41,16,1190,1540,307,8385,2043,3427,488,197,218,1339,8,270,29,211,188,65,4678,539,116,49,3046,992,25,58,1088,...,69,181,2384,37,1517,3889,707,3831,4117,1744,888,759,262,173,43,160,131,955,8608,846,193,774,6447,1996,260323,21253,349439,...,...,...,6679,135548,...,806,...,...,...,12,...,...,...,226,...,...,774287
334,Computer and electronic products,230,1,29,30,503,113,7837,1163,1570,2706,7150,12170,28566,6445,30887,22839,1513,3678,3212,928,117,1358,2056,687,7407,3047,16055,1297,569,518,3871,2,151,4,234,9,6,120,425,3886,1157,26442,7017,1019,1598,115,889,283,1015,426,1524,7199,12162,12271,5184,755,1118,10654,930,271,579,41,269,405,144,5899,30727,3151,1,3091,2105,311828,172937,306942,...,517,...,4036,125726,...,14376,...,...,...,231,...,...,...,715,...,...,937308
335,"Electrical equipment, appliances, and components",3065,291,232,88,847,32,65988,2226,202,2831,3789,19813,1879,11670,9870,3181,139,1698,1279,85,7,655,164,213,1345,1913,490,321,69,308,599,1,215,30,68,205,2,29,667,3,0,9763,727,234,105,3,...,36,2761,304,0,1716,7087,159,3357,1227,980,25,946,1623,570,111,475,970,1122,4467,1193,1769,64,2339,3338,183978,93382,41452,...,9340,...,3420,39489,...,586,...,...,...,20,...,...,...,52,...,...,371719
3361MV,"Motor vehicles, bodies and trailers, and parts",1070,133,1026,1037,661,56,3150,1015,877,968,1748,18230,321,375,270376,5620,481,905,3928,110,1,1553,312,262,1988,734,8316,6704,2040,362,7410,0,74,0,4699,412,0,155,4062,319,130,1637,225,110,39,0,...,...,0,1119,0,53,4599,987,9348,1651,286,461,1212,153,1834,575,144,195,869,20726,4866,78,1360,7146,754,412049,346941,352370,...,...,...,18919,120386,...,26751,...,...,...,18524,...,...,...,38424,...,...,1334364
3364OT,Other transportation equipment,...,52,...,41,...,...,13,68,...,...,59,146,...,...,393,77556,...,...,...,...,...,...,...,...,...,...,19,133,...,...,...,762,2112,2353,0,27,...,1270,...,...,...,7,...,...,...,0,...,...,...,0,...,...,398,7,80,54,0,...,...,...,5,...,0,...,...,889,40820,828,20,0,214,128324,36123,75653,...,...,...,1639,135069,...,39566,...,...,...,225,...,...,...,75,...,...,416676
337,Furniture and related products,1,...,...,...,...,...,28730,782,0,...,0,374,56,6,59,353,4997,492,...,...,...,0,...,...,...,394,734,376,...,27,2114,0,...,4,...,...,...,21,...,1,...,355,536,...,...,...,...,12262,53,0,7,1,441,10,1,...,0,435,116,1,117,426,546,5,434,329,...,...,905,13,118,56633,129046,46835,...,889,...,-123,5001,...,0,...,...,...,1,...,...,...,9,...,...,238290
339,Miscellaneous manufacturing,272,7,42,43,34,0,1313,36,246,82,80,3071,2,977,2927,123,17,8716,50,140,210,0,9,18,767,155,1999,515,172,15,2143,0,2,...,7,28,0,316,444,6,3,385,181,391,73,24,0,1,1020,74,86,67,3312,39,2607,595,752,24692,24538,1520,2314,127,973,93,1055,2191,200,277,...,11618,127,104324,262035,79706,...,...,...,3356,45916,...,23,...,...,...,2,...,...,...,20,...,...,495382
311FT,Food and beverage and tobacco products,49985,663,...,...,...,...,...,45,275,7,...,...,...,...,...,...,...,5,209461,13,1231,1619,690,472,5404,163,3038,8,4498,1212,1840,1234,2,695,85,...,...,91,...,38,21,...,91,...,...,...,...,...,...,...,...,...,7114,129,0,...,6085,19,8347,7038,11136,1049,7841,9600,77290,3775,2458,49,774,69751,...,495342,1063112,...,...,...,...,-711,78761,...,...,...,...,...,...,...,...,...,...,...,...,1636504
313TT,Textile mills and textile product mills,383,141,...,3,...,...,3699,814,584,...,0,1275,0,1,6620,1202,3482,2638,291,10998,2109,4042,429,147,14,3111,3890,139,243,4838,3280,...,...,293,20,...,2,147,5,6,207,35,27,...,0,0,...,3,347,313,...,...,481,10,341,190,73,87,762,3896,1320,0,685,2843,442,1625,1313,309,2,4037,54,74249,78464,4940,...,1982,...,811,11384,...,...,...,...,...,1,...,...,...,0,...,...,171833
315AL,Apparel and leather and allied products,76,...,...,...,...,17,...,0,1,...,...,...,0,...,3027,...,...,104,17,1276,3626,...,2129,163,...,2,1140,323,14,384,1018,...,...,...,...,...,...,...,...,25,54,3273,2,0,...,...,...,...,...,164,...,...,63,22,448,183,184,195,333,...,1476,296,80,32,300,3362,154,40,72,8656,51,32782,407290,...,...,...,...,-688,6141,...,...,...,...,...,...,...,...,...,...,...,...,445525
322,Paper products,495,0,93,199,108,59,3589,692,1725,1650,2939,2307,381,1117,3739,756,1293,2426,34437,557,53,45431,8109,359,8770,5148,8249,184,2115,550,2570,16,71,11,174,1217,25,3323,563,2121,169,1081,448,2210,816,83,4,2,2139,768,478,414,4497,1018,4762,320,268,1468,3502,1931,1267,140,281,2914,3892,1758,125,1419,55,16686,43,202582,47167,...,...,...,...,292,26067,...,...,...,...,...,...,...,...,...,...,...,...,276107
323,Printing and related support activities,19,0,7,2,...,2,44,17,...,...,1,8,...,1,4,...,...,...,173,...,17,...,1536,11,953,...,10417,184,230,156,5691,7,14,...,564,75,2,773,10,4687,828,546,6578,937,2116,1636,...,...,145,255,737,263,7269,951,2951,17,1032,1985,3083,186,1540,894,267,963,682,2797,610,821,45,12724,553,79020,10736,...,...,...,...,519,2226,...,...,...,...,...,...,...,...,...,...,...,...,92500
324,Petroleum and coal products,12233,991,6400,5388,4304,26783,67637,1215,861,2348,1073,1782,100,942,721,260,358,808,4314,138,21,1624,1641,24792,13852,1163,8504,1762,951,257,2791,16805,10550,3271,35367,3367,23,27020,265,389,157,1252,908,13302,6887,36,1110,142,11354,2935,72,1091,2978,2459,7624,2061,864,1159,4184,1009,780,218,1868,1790,5238,5184,26096,903,4056,127149,24636,552572,349729,...,...,...,...,-3981,122998,...,...,...,...,...,...,...,...,...,...,...,...,1021318
325,Chemical products,32963,2914,8808,2951,2261,2157,16720,2837,5150,2210,9333,4967,1613,2709,12066,1752,2207,7294,9302,11264,160,15647,6419,13041,250721,65430,3013,199,81,106,1549,1,379,10,203,11,2,141,1793,688,223,886,1225,281,378,22,0,328,19976,420,406,195,15732,2196,8978,898,831,42136,36675,3774,949,348,1133,121,821,6128,1794,2005,142,44291,2797,697162,653741,2229,...,...,...,1794,193250,...,...,...,...,...,...,...,...,...,...,...,...,1548176
326,Plastics and rubber products,1643,144,132,1384,1301,43,44338,965,1672,1018,3350,8754,990,2084,37213,3903,5868,7637,23367,500,88,3803,723,616,17162,20546,15734,3960,2580,454,7000,11,9,1,963,30,69,3100,629,453,104,6625,688,324,173,116,0,50,1039,1669,95,709,7741,301,2693,469,811,9517,4226,1885,1320,40,272,205,8322,6859,1906,506,25,14678,2265,299873,68567,381,...,186,...,2719,31219,...,...,...,...,...,0,...,...,...,...,...,...,402945
42,Wholesale trade,1376,32,70,102,...,1180,55,352,413,1249,1327,3618,535,1790,715,72,444,2095,3779,309,28,1288,90,166,6234,1598,46051,2200,390,13,13311,136,...,...,88,...,3,...,...,854,22,1385,...,18,45,49,4,...,...,7689,...,133,...,...,73,63,23,252,105,...,...,...,105,0,37,24,...,...,0,34,...,102021,...,...,...,...,...,...,2889,...,...,...,...,...,...,...,...,...,...,...,...,104910
441,Motor vehicle and parts dealers,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
445,Food and beverage stores,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
452,General merchandise stores,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
4A0,Other retail,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,790,...,430,567,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3,...,...,...,...,...,1790,6183,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,7972
481,Air transportation,...,...,8,28,470,725,323,198,296,292,697,455,45,50,292,197,172,265,890,42,15,208,279,313,418,446,6960,173,50,78,366,237,23,303,1675,26,3,1015,67,721,412,1979,2248,5039,4736,400,395,453,9033,1127,1622,2655,7157,426,8277,615,833,3872,438,562,610,217,385,327,1305,1421,3914,1582,191,4214,76,85347,138971,...,...,...,...,...,47187,...,...,...,...,...,...,...,...,...,...,...,...,271505
482,Rail transportation,...,...,...,...,...,101,1,...,...,...,...,...,...,...,...,...,...,1,...,...,...,...,1,...,...,0,75,8,10,...,35,0,84,...,4083,...,3,281,29,...,...,217,1,12,7,138,...,...,...,14,43,17,377,1,127,...,...,10,21,...,...,...,...,...,...,19,96,34,453,378,...,6679,1479,...,...,...,...,...,1366,...,...,...,...,...,...,...,...,...,...,...,...,9524
483,Water transportation,...,...,...,...,...,10,13,...,...,...,...,2,...,...,...,...,...,...,...,...,...,...,...,...,11,...,24,11,...,...,...,...,...,...,...,...,4,...,...,...,...,2,...,...,...,...,...,...,...,13,...,...,824,71,22,8,247,8,45,...,11,5,...,...,...,41,1619,71,613,252,...,3927,24214,...,...,...,...,...,4565,...,...,...,...,...,...,...,...,...,...,...,...,32706
484,Truck transportation,176,...,...,...,172,...,...,166,56,172,550,149,152,27,130,43,78,151,106,54,13,166,68,540,137,220,3035,1342,817,874,3105,687,114,74,4452,45,6,1962,78,122,54,5,225,...,0,15,3,...,...,90,74,34,1231,3,229,40,20,124,169,25,56,21,4,15,108,158,1016,12,271,280,16,24334,12595,...,...,...,...,...,1632,...,...,...,...,...,...,...,...,...,...,...,...,38561
485,Transit and ground passenger transportation,...,3,3,7,131,639,507,58,90,93,211,143,14,15,95,58,51,102,266,11,4,64,81,94,137,130,781,68,6,16,105,2,427,...,0,...,1,109,7,219,110,1148,919,2143,1499,700,115,542,3170,485,787,1030,4832,153,3424,172,372,1976,1658,766,160,1914,95,126,532,454,14,2,14,16437,461,50961,45355,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,96316
486,Pipeline transportation,...,...,408,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,408,...,...,...,...,...,...,316,...,...,...,...,...,...,...,...,...,...,...,...,724
487OS,Other transportation and support activities,...,266,31,1221,10,7250,0,870,1060,169,131,17,0,4,9,0,288,193,705,75,...,507,338,1554,171,484,47362,2363,857,538,11475,17993,2000,4440,43641,547,406,30923,1460,2074,958,378,3785,788,3114,261,...,...,...,1884,972,518,13035,483,3174,1395,424,1996,2907,456,1004,676,727,134,472,2297,2,68,569,739,4177,228826,25098,...,...,...,...,...,11354,...,...,...,...,...,...,...,...,...,...,...,...,265278
493,Warehousing and storage,317,...,8,296,...,390,...,3732,1811,161,1784,621,2037,75,199,136,124,595,3969,1610,315,3571,1586,3372,3615,5216,22727,8248,7460,8769,23408,13,2,736,10013,120,12,901,10828,597,221,641,814,...,0,47,...,1,57,344,215,115,1068,5,1940,89,150,660,851,151,223,183,107,698,1257,827,96,141,...,3585,95,143958,125,...,...,...,...,...,183,...,...,...,...,...,...,...,...,...,...,...,...,144266
511,"Publishing industries, except internet (includes software)",44,1,21,0,3,122,487,2,1,6,43,32,9,2,13,64,6,29,8,0,0,5,48,3,65,9,2038,260,114,106,744,7,60,...,76,6,...,441,117,12895,57,988,1532,503,1017,146,30,23,353,291,1404,982,4885,2107,2138,10,793,2040,1259,133,1024,34,78,116,102,1144,1170,832,333,9412,112,52939,138907,...,143401,...,...,929,44898,...,...,1601,...,...,...,1950,...,...,...,5762,...,390386
512,Motion picture and sound recording industries,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,31,319,250,...,148,3,...,...,4,...,66,16,0,37,21518,48047,9,23,28,0,...,...,107,593,11,20,2760,183,59,...,3488,46,17,1847,1248,172,113,2130,2450,864,1240,388,6,883,...,89125,35009,...,40752,...,...,131,19317,...,...,...,...,...,...,...,...,...,...,...,...,184335
513,Broadcasting and telecommunications,524,39,1110,206,773,1342,6168,217,306,296,924,730,155,156,422,260,150,470,1089,77,23,280,365,517,1110,519,18562,2247,779,648,9650,296,149,128,4458,1064,449,3786,613,2716,486,105491,7513,11883,7185,4716,904,2413,15340,1606,5418,4192,15367,5639,13518,713,2510,7104,4339,1166,1257,501,1471,2278,5764,6273,4053,2845,546,43379,910,350557,333208,6276,31577,...,...,...,12137,...,...,...,...,...,...,...,...,...,...,...,...,733756
514,"Data processing, internet publishing, and other information services",...,0,69,7,15,1411,1104,657,608,911,2049,1308,368,252,581,702,444,709,1339,178,57,684,301,495,841,906,4395,2761,1280,878,5877,129,1,0,215,64,22,854,168,2256,175,5515,14348,10639,3535,1239,1066,38,783,4783,4009,3115,19479,6912,23697,813,5342,2184,4501,423,1458,695,941,747,3916,10850,10230,3757,315,14370,1947,196715,68710,...,14172,...,...,...,6627,...,...,434,...,...,...,392,...,...,...,1444,...,288495
521CI,"Federal Reserve banks, credit intermediation, and related activities",1331,80,3038,583,1916,7473,7660,256,957,1109,1612,1382,689,349,1200,627,470,846,3556,212,83,302,296,593,1847,1255,21934,2347,3194,3388,16090,2226,4790,715,6656,8686,131,1734,1043,2250,1534,5759,2198,48524,48883,9215,3581,105538,68923,18476,4493,3763,23711,14927,11359,347,2981,11890,1910,3033,1594,562,1580,1371,2477,14557,274,226,2757,5134,10444,546924,276754,...,...,...,...,...,66867,...,...,...,...,...,...,...,...,...,...,...,...,890544
523,"Securities, commodity contracts, and investments",227,34,5312,797,3661,516,1928,45,76,1125,1445,1232,58,233,971,500,366,671,249,16,4,40,48,122,58,108,2465,168,265,445,924,4809,825,7249,1120,1141,65,1935,47,383,280,520,150,41338,62751,5133,101076,182,6052,792,1068,505,3699,9498,2293,57,675,1771,10093,574,2055,362,135,2931,3542,17516,15,98,105,27930,1797,346674,258473,...,...,...,...,...,64894,...,...,...,...,...,...,...,...,...,...,...,...,670041
524,Insurance carriers and related activities,2336,1046,9477,1740,3283,817,429,224,1133,842,972,1456,273,790,1446,1464,405,626,3427,370,156,340,90,381,2543,536,27639,2718,1314,1167,6912,115,40,334,7602,2510,185,1714,1785,533,1677,2881,937,12690,18372,413964,8893,13395,45826,3784,4023,1241,9922,274,8428,1085,2202,5459,73418,1365,4485,1984,1879,1487,3585,5578,0,68679,433,1862,8872,819848,402337,...,...,9663,...,...,18047,...,...,...,...,...,...,...,...,...,...,...,...,1249896
525,"Funds, trusts, and other financial vehicles",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,8373,14554,...,...,...,...,...,...,44,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,22971,173272,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,196243
HS,Housing,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2221999,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2221999
ORE,Other real estate,29292,116,1381,103,252,3599,20535,587,729,511,4674,1714,4110,514,2101,4965,1040,1480,3999,573,111,1200,1654,92,4400,2257,99978,16952,22544,15345,110699,240,225,363,5587,1020,121,2550,20062,4930,5161,17859,12715,43335,32476,63460,769,7619,128479,8592,23374,5500,56223,35080,19248,1695,37221,48378,43457,28193,19085,10374,14638,9051,81060,46817,3979,8489,1133,36651,3676,1246391,6555,...,...,123358,21951,...,3293,...,...,...,...,...,...,...,...,...,...,...,...,1401548
532RL,Rental and leasing services and lessors of intangible assets,3737,217,5427,1417,4052,858,20760,246,764,931,2075,1509,342,464,1520,968,191,1002,3624,114,63,813,474,1731,4552,764,32411,1405,1671,1990,9834,9736,4614,585,9964,1975,60,1861,1284,2134,3267,12389,7242,9356,6857,5024,30,76,3190,5963,3188,2163,16740,19110,7176,1661,1927,4626,5775,767,547,1906,1903,2196,7660,2511,297,162,510,8235,390,280983,108279,...,...,...,...,...,73908,...,...,...,...,...,...,...,...,...,...,...,...,463170
5411,Legal services,323,85,5687,536,1660,3330,5406,717,447,932,3257,1412,3057,199,1855,3060,313,1466,1177,217,83,884,504,1315,3604,1276,13597,595,328,776,3754,228,535,197,449,160,136,756,255,2966,872,5206,3716,5294,8646,19786,1332,1567,19238,606,2525,4784,14457,9463,8112,443,406,6049,16179,1385,881,1259,2115,2475,2642,4087,901,196,946,8553,811,222467,106625,...,...,25995,...,...,13294,...,...,...,...,...,...,...,...,...,...,...,...,368380
5415,Computer systems design and related services,350,53,7703,291,46,1399,4577,210,261,340,1805,2633,377,103,525,1296,184,481,1123,102,24,274,489,1093,1371,458,16735,3269,821,1011,5153,125,1401,7,1340,160,7,371,398,6944,628,8531,10358,11522,10051,3501,626,232,2149,661,5217,6952,20715,22253,13435,308,1832,6918,11984,1560,1360,297,1309,830,2388,4182,20875,13596,416,19520,2675,272190,...,24170,221948,...,...,...,26525,...,201,9660,...,...,...,23912,...,...,10,12186,...,590802
5412OP,"Miscellaneous professional, scientific, and technical services",1727,761,6411,2657,9050,10568,52880,3181,3065,5808,11308,6333,6863,1884,6739,5797,2580,5995,15922,1445,503,3742,2213,5093,16158,6344,115278,20806,8698,8694,64660,833,2682,1184,6265,1320,1804,3249,1914,15147,10411,61611,34681,68921,44941,27917,2905,979,121880,7602,9733,26364,145839,55195,49477,2979,5568,35013,45695,9440,6521,5513,7069,11076,33402,26218,36687,8015,1794,55019,15834,1421859,76497,38368,463014,3466,...,...,153360,...,...,57056,...,...,...,73758,...,...,...,20239,...,2307617
55,Management of companies and enterprises,...,...,13585,3265,1460,23,8129,987,1993,1750,10272,18222,14592,1527,15491,6024,625,3919,25809,1216,741,3127,838,9232,29236,2825,89805,1720,5364,20484,26613,419,12,1019,8439,656,6,3876,645,6322,786,3258,1775,5785,14439,2174,470,39,2464,4846,6970,6065,26062,100,48447,3225,4283,26718,9486,4201,2389,2543,2151,21163,63245,9325,...,...,518,...,...,613196,...,...,...,...,...,...,4095,...,...,...,...,...,...,...,...,...,...,...,...,617290
561,Administrative and support services,651,73,1224,686,1917,13259,9334,754,1443,3216,8016,2454,2709,573,3933,4071,382,1671,4656,420,386,1830,2864,3339,6124,2162,75329,6041,4147,3936,29902,7098,1522,6307,14526,4077,816,8790,4735,11078,2690,25966,28803,29134,17428,8043,328,4725,132415,12026,10188,26549,68981,9169,73095,3521,4058,27788,52178,9492,3734,5100,3708,8221,13730,14975,12740,1535,2288,37622,6608,913284,68983,...,...,...,...,...,2355,...,...,...,...,...,...,...,...,...,...,...,...,984622
